x_id,x_idregion_y1,proi1_y1,proi2_y1,proi3_y1,proi4_y1,proi5_y1,proi6_y1,proi7_y1,proi8_y1,inf1_y1,inf2_y1,inf3_y1,enrl1_y1,enrl_epi,enrl_epi2,ad_age,ad_gender,ad_field,ad_inst1,ad_need1,ad_need2,ad_inc1,ad_inc2,ad_award1,ad_award2,ad_unmet1,ad_unmet2,ad_inc3,ad_inc4,ad_loan1,ad_grant1,ad_asset1,ad_tuition1,ad_recip1,ad_ncb1,ad_cag1,ad_loan2,ad_bursary1,ad_loan3,ad_award3,enrl1_y2,proi_scale
ON21-14075,35,5,4,4,5,1,1,4,3,4,2,4,1,52.0101,52,20,1,32,3520,7949,2192,NA,14656,7949,7949,0,0,12945,NA,5757,2192,NA,NA,1,36440,1,2192,0,3565,5757,1,33
ON21-14078,35,4,4,5,4,2,3,3,5,4,5,4,1,14.1901,14,20,1,20,3531,7943,480,NA,56283,7943,7943,0,0,6800,NA,7943,0,NA,NA,1,36440,0,480,0,7463,7463,1,28
ON21-14079,35,5,4,4,5,3,2,4,4,2,4,4,1,9.0903,9,19,0,32,3543,10151,1071,NA,56283,10151,10151,0,0,2000,NA,10151,0,NA,NA,1,36440,0,1071,0,9080,9080,1,29
ON21-14081,35,4,4,3,3,2,3,3,3,4,3,4,1,11.0701,11,18,1,32,3514,4226,597,NA,67241,4226,4226,0,0,500,NA,4226,0,NA,NA,1,36440,0,597,0,3629,3629,1,27
ON21-14082,35,4,5,4,4,2,3,2,3,5,4,3,1,26.0701,26,18,1,32,3512,6438,1093,NA,63094,8138,8138,1700,-1700,120,NA,8138,0,NA,NA,1,36440,0,1093,0,7045,7045,1,31
ON21-14086,35,5,5,4,5,4,5,1,5,4,1,2,1,23.0101,23,19,1,32,3518,12098,1093,NA,59957,12098,12098,0,0,13000,NA,12098,0,NA,NA,1,36440,0,1093,0,11005,11005,1,28
ON21-14087,35,5,4,NA,NA,NA,NA,NA,NA,NA,4,4,1,9.0401,9,21,1,NA,5942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
ON21-14089,35,5,5,4,2,1,1,2,5,3,4,5,1,51.1601,51,18,0,36,3526,13671,1870,NA,42712,13300,13300,371,371,4000,NA,13300,0,NA,NA,1,36440,0,1870,0,11430,11430,1,31
ON21-14092,35,5,5,5,5,1,2,4,4,5,2,5,1,51.2601,51,22,1,18,3529,2504,960,NA,14975,2462,2462,42,42,3500,NA,1502,960,NA,NA,1,36440,1,960,0,542,1502,2,33
ON21-14096,35,5,4,4,5,2,1,3,3,2,5,4,1,14.1901,14,18,1,35,3520,11431,1884,NA,62829,11479,11479,48,-48,5000,2000,11479,0,NA,NA,1,36440,0,1884,0,9595,9595,1,33
ON21-14100,35,5,5,4,4,2,3,4,4,5,4,1,1,50.0408,50,20,1,17,3542,5770,623,NA,45597,5770,5770,0,0,10200,NA,5770,0,NA,NA,1,36440,0,623,0,5147,5147,1,29
ON21-14101,35,4,4,NA,4,4,1,5,4,2,2,5,1,45.0401,45,19,1,32,3523,12614,2134,NA,37702,11900,11900,714,714,NA,NA,9766,2134,NA,NA,1,46267,1,2134,0,7632,9766,1,NA
ON21-14103,35,5,5,5,4,5,4,4,2,5,5,5,1,24.0102,24,17,1,32,3517,11829,2191,NA,29152,11829,11829,0,0,NA,NA,9638,2191,NA,NA,1,36440,1,2191,0,7447,9638,1,28
ON21-14106,35,5,4,4,4,2,4,4,2,5,5,1,1,14.1001,14,19,1,20,3535,11193,479,NA,62355,11193,11193,0,0,7000,NA,11193,0,NA,NA,1,36440,0,479,0,10714,10714,1,29
ON21-14107,35,5,5,3,3,1,2,4,4,5,5,5,1,52.0201,52,18,0,30,3522,7930,2259,NA,42186,8397,8397,467,-467,5000,NA,8397,0,NA,NA,1,41336,0,2259,0,6138,6138,1,29
